Session ID;Curr HW;E start;E pres;started[s];ended[s];started;ended;reason;timeQ;RFID tag;RFID class;Serial;Sec;Car;Energy in kWh;Price in Euro;Year;Month
62;20000;8491423;123201;1679747196;1679903413;2023-03-25 12:26:36.000;2023-03-27 07:50:13.000;1;3;0000000000000000;00000000000000000000;22417476;11945;***REMOVED***;12,32;6,04;2023;3
63;20000;8614624;11218;1679921339;1679922543;2023-03-27 12:48:59.000;2023-03-27 13:09:03.000;1;3;0000000000000000;00000000000000000000;22417476;11945;***REMOVED***;1,12;0,55;2023;3
64;20000;8625842;210527;1679923133;1680014876;2023-03-27 13:18:53.000;2023-03-28 14:47:56.000;1;3;0000000000000000;00000000000000000000;22417476;11945;***REMOVED***;21,05;10,32;2023;3
65;20000;8836369;54942;1680160607;1680181569;2023-03-30 07:16:47.000;2023-03-30 13:06:09.000;1;3;0000000000000000;00000000000000000000;22417476;11945;***REMOVED***;5,49;2,69;2023;3
66;20000;8891311;49161;1680187483;1680284233;2023-03-30 14:44:43.000;2023-03-31 17:37:13.000;1;3;0000000000000000;00000000000000000000;22417476;139858;***REMOVED***;4,92;2,41;2023;3
67;20000;8940472;232618;1680510760;1680607841;2023-04-03 08:32:40.000;2023-04-04 11:30:41.000;1;2;0000000000000000;00000000000000000000;22417476;139858;***REMOVED***;23,26;11,4;2023;4
68;25000;9173090;180;221;418;221000;418000;1;0;***REMOVED***;00000000000000000000;22417476;139858;***REMOVED***;0,02;0,01;0;0
69;25000;9173270;11;8683;8714;8683000;8714000;1;0;***REMOVED***;00000000000000000000;22417476;139858;***REMOVED***;0,0;0,0;0;0
70;25000;9173281;0;8803;0;8803000;0;5;0;***REMOVED***;00000000000000000000;22417476;139858;***REMOVED***;0,0;0,0;0;0
71;25000;9174320;0;12;0;12000;0;5;0;0000000000000000;00000000000000000000;22417476;139858;***REMOVED***;0,0;0,0;0;0
72;25000;9175787;18577;1680860397;1680878798;2023-04-07 09:39:57.000;2023-04-07 14:46:38.000;1;3;0000000000000000;00000000000000000000;22417476;139858;***REMOVED***;1,86;0,91;2023;4
73;25000;9194364;28639;1680968330;1681025470;2023-04-08 15:38:50.000;2023-04-09 07:31:10.000;1;3;0000000000000000;00000000000000000000;22417476;139858;***REMOVED***;2,86;1,4;2023;4
